Cruise,Station,Type,yyyy-mm-ddThh:mm,Latitude [degrees_north],Longitude [degrees_east],Bot. Depth [m],PRES [db],TEMP [deg C],PSAL [psu]
58?1,,B,1895-07-09T08:30,67.55,9.52,,0,10.60,34.346
772A,,B,1896-06-10T14:00,65.22,8.40,,0,8.06,35.083
772A,,B,1896-06-10T18:00,65.77,9.17,,0,7.72,35.033
772A,,B,1896-06-10T22:00,66.33,9.93,,0,7.84,35.272
772A,,B,1896-08-26T06:00,65.83,9.67,,0,13.00,33.996
772A,,B,1896-08-26T10:00,65.40,8.60,,0,13.23,33.785
58HE,65,B,1897-04-13T04:30,69.70,5.82,,0,4.65,35.052
58HE,66,B,1897-04-13T09:45,69.68,7.17,,0,4.90,35.022
58HE,67,B,1897-04-13T16:00,69.97,9.33,,0,5.40,35.032
74G4,61,B,1897-08-23T13:00,67.00,9.17,,0,13.30,33.735
74G4,62,B,1897-08-24T13:00,65.33,7.50,,0,12.80,33.624
773A,1327,B,1898-05-31T12:00,65.32,8.33,,0,8.38,35.302
773A,1328,B,1898-05-31T16:00,65.57,8.75,,0,8.83,34.953
773A,1329,B,1898-05-31T20:00,65.78,9.17,,0,9.01,34.623
773A,1330,B,1898-06-01T00:00,66.13,9.62,,0,8.40,35.122
581B,16,B,1899-06-19T08:00,65.82,9.72,,0,9.78,34.670
58MS,605,B,1900-08-11T21:45,69.85,5.00,,0,9.60,35.070
58MS,606,B,1900-08-11T23:00,69.87,5.25,,0,9.65,35.020
58MS,39,B,1900-08-11T23:59,68.87,5.25,3000,0,9.65,35.02
58MS,607,B,1900-08-12T02:00,69.87,5.25,,0,9.60,34.970
58MS,608,B,1900-08-12T14:00,69.77,8.00,,0,9.70,35.070
58MS,40,B,1900-08-12T14:00,69.77,8.00,,0,9.7,35.07
58MS,609,B,1900-08-12T18:25,69.70,8.88,,0,9.70,35.010
58HE,111,B,1901-05-17T15:00,67.62,6.00,,0,6.0,
5802,1483,B,1901-05-17T15:45,67.62,6.00,,0,5.86,35.230
58HE,112,B,1901-05-17T23:59,67.68,8.50,,0,6.4,35.14
58HE,112,B,1901-05-17T23:59,67.68,8.50,,10,7.04,35.15
5802,1484,B,1901-05-18T00:00,67.68,8.50,,0,7.00,35.140
58MS,3551,B,1901-06-23T05:00,69.75,9.25,,0,8.20,35.180
581D,1618,B,1901-08-07T16:00,69.98,9.98,,0,9.80,35.070
581D,1619,B,1901-08-07T19:30,69.80,9.17,,0,8.60,35.080
581D,1620,B,1901-08-07T23:00,69.50,8.67,,0,8.90,35.070
581D,1621,B,1901-08-08T02:00,69.22,8.22,,0,9.50,35.050
581D,1622,B,1901-08-08T05:00,69.12,7.67,,0,9.50,35.010
581D,1623,B,1901-08-08T08:00,69.02,8.00,,0,9.40,35.070
581D,1624,B,1901-08-08T11:00,68.88,6.50,,0,9.60,35.040
581D,1625,B,1901-08-08T14:00,68.75,6.00,,0,10.40,35.090
